Symbol,Security,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,Data Date
CTLT,Catalent,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CAT,Caterpillar Inc.,39,10.6,19.6,8.9,4,2021-05
CBOE,Cboe Global Markets,19,2.6,7.2,9,2,2021-05
CBRE,CBRE Group,9,2.3,2.8,3.6,1,2021-05
CDW,CDW,11,3.6,3.5,3.8,0,2021-05
CE,Celanese,30,15.4,7.7,7.3,2,2021-05
CNC,Centene Corporation,23,0.1,15.9,6.7,2,2021-05
CNP,CenterPoint Energy,35,17.7,11.9,5.9,2,2021-05
CERN,Cerner,20,0.1,12.9,6.8,2,2021-05
CF,CF Industries Holdings Inc,33,18.6,9.2,5.1,2,2021-05
CRL,Charles River Laboratories,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SCHW,Charles Schwab Corporation,25,2.1,10.6,12.6,2,2021-05
CHTR,Charter Communications,20,1.9,10.3,8.3,2,2021-05
CVX,Chevron Corp.,41,20,10.7,9.9,3,2021-05
CMG,Chipotle Mexican Grill,24,3.6,14.8,5.8,3,2021-05
CB,Chubb Limited,24,1.6,11.2,10.7,2,2021-05
CHD,Church & Dwight,23,7.5,8.3,7.2,2,2021-05
CI,Cigna,12,0,6,5.7,2,2021-03
CINF,Cincinnati Financial,24,1.9,8.5,14.1,1,2021-05
CTAS,Cintas Corporation,21,4.5,9.6,7.1,2,2021-05
CSCO,Cisco Systems,12,0.5,5.8,6.1,2,2021-05
C,Citigroup Inc.,26,1.5,11.4,13.4,4,2021-05
CFG,Citizens Financial Group,26,1.9,13.1,11.4,2,2021-05
CTXS,Citrix Systems,14,0.7,8,5.6,2,2021-05
CLX,The Clorox Company,23,8.8,7.9,6.1,2,2021-05
CME,CME Group Inc.,15,1.9,6.6,6,1,2021-05
CMS,CMS Energy,24,11.8,6.9,5.1,2,2021-05
KO,Coca-Cola Company,25,9.1,10.8,5.4,3,2021-05
CTSH,Cognizant Technology Solutions,18,1.1,10.4,6.2,2,2021-05
CL,Colgate-Palmolive,22,6.6,9.4,5.7,3,2021-05
CMCSA,Comcast Corp.,19,1.2,9.3,8.9,2,2021-05
CMA,Comerica Inc.,27,1.7,13.1,12.2,2,2021-05
CAG,Conagra Brands,33,11.7,16.5,4.7,2,2021-05
COP,ConocoPhillips,36,19,9.8,7,2,2021-05
ED,Consolidated Edison,25,5,13.5,6.6,3,2021-05
STZ,Constellation Brands,23,9.1,9.3,5,2,2021-05
COO,The Cooper Companies,21,3.1,10.7,7,2,2021-05
CPRT,Copart Inc,23,4.1,11.8,6.8,1,2021-05
GLW,Corning Inc.,20,7.9,5.2,6.9,2,2021-05
CTVA,Corteva,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COST,Costco Wholesale Corp.,23,6.1,11,6.1,3,2021-05
CCI,Crown Castle,13,5.2,2.9,5.1,0,2021-05
CSX,CSX Corp.,19,5.8,9.4,3.6,3,2021-05
CMI,Cummins Inc.,18,3.7,8.2,5.9,2,2021-05
CVS,CVS Health,21,3,13.1,4.8,3,2021-05
DHI,D. R. Horton,23,9.3,7.1,6.4,2,2021-05
DHR,Danaher Corp.,18,1.4,9.8,6.7,2,2021-05
DRI,Darden Restaurants,26,8.1,13.3,4.7,2,2021-05
DVA,DaVita Inc.,21,0.1,12.5,8.8,2,2021-05
DE,Deere & Co.,17,3.8,9.2,3.7,2,2021-05
DAL,Delta Air Lines Inc.,24,8.2,11.6,4.6,2,2021-05
XRAY,Dentsply Sirona,20,3.2,10.4,6.5,1,2021-05
DVN,Devon Energy,32,15.5,8.7,7.5,2,2021-05
