Symbol,Security,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,Data Date
RL,Ralph Lauren Corporation,14,1.3,6.6,5.7,2,2021-05
RJF,Raymond James Financial,27,1.9,12.9,12.3,2,2021-05
RTX,Raytheon Technologies,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
O,Realty Income Corporation,17,5.3,6.3,5,0,2021-05
REG,Regency Centers Corporation,11,3.1,3,4.5,0,2021-05
REGN,Regeneron Pharmaceuticals,21,0,13.8,7.3,2,2021-05
RF,Regions Financial Corp.,19,1.8,9.8,7.8,2,2021-05
RSG,Republic Services Inc,21,11.5,6,3.8,3,2021-05
RMD,ResMed,27,3.6,12.5,10.5,1,2021-05
RHI,Robert Half International,11,0.1,7.4,3.8,1,2021-05
ROK,Rockwell Automation Inc.,22,5.4,10.1,6.7,1,2021-05
ROL,"Rollins, Inc.",20,1.8,11.6,7.1,0,2021-05
ROP,Roper Technologies,21,1.1,13.7,6,0,2021-05
ROST,Ross Stores,15,1.6,8,5.7,2,2021-05
RCL,Royal Caribbean Group,22,9.7,8.8,4,3,2021-05
SPGI,S&P Global Inc.,13,1.6,5.8,5.4,1,2021-05
CRM,Salesforce.com,11,0.5,6.5,4.4,2,2021-05
SBAC,SBA Communications,15,3.4,6,5.3,0,2021-05
SLB,Schlumberger Ltd.,24,7.3,9.8,6.7,1,2021-05
STX,Seagate Technology,11,1.6,3.8,5.3,1,2021-05
SEE,Sealed Air,20,13.9,2.5,3.4,2,2021-05
SRE,Sempra Energy,30,14.6,10.3,5.6,3,2021-05
NOW,ServiceNow,17,1.5,9.2,6.4,1,2021-05
SHW,Sherwin-Williams,29,12.4,11.1,5.8,2,2021-05
SPG,Simon Property Group Inc,14,4.5,4.3,5.3,1,2021-05
SWKS,Skyworks Solutions,33,14.9,9.5,8.3,0,2021-05
SNA,Snap-on,30,9.4,13.6,7.3,1,2021-05
SO,Southern Company,34,15.7,10.9,6.9,2,2021-05
LUV,Southwest Airlines,31,10.1,15.2,5.7,2,2021-05
SWK,Stanley Black & Decker,27,5.7,12.6,8.3,1,2021-05
SBUX,Starbucks Corp.,21,3.2,13.6,4.6,3,2021-05
STT,State Street Corp.,23,1.6,12.4,8.5,2,2021-05
STE,Steris,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SYK,Stryker Corp.,34,5.1,17.7,11.7,3,2021-05
SIVB,SVB Financial,29,2.1,12.9,14.1,0,2021-05
SYF,Synchrony Financial,19,0.1,11.5,7,1,2021-05
SNPS,Synopsys Inc.,14,1.1,9.1,4.2,0,2021-05
SYY,Sysco Corp.,12,2.4,5,4.4,2,2021-05
TMUS,T-Mobile US,27,4.7,14.6,7.8,3,2021-05
TROW,T. Rowe Price Group,20,1.9,11.8,5.8,2,2021-05
TTWO,Take-Two Interactive,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TPR,"Tapestry, Inc.",14,1.2,7.5,4.9,2,2021-05
TGT,Target Corp.,15,2.1,7.6,5.3,3,2021-05
TEL,TE Connectivity Ltd.,16,6.7,4.5,4.9,1,2021-05
TDY,Teledyne Technologies,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TFX,Teleflex,29,4.8,16.5,7.7,2,2021-05
TER,Teradyne,19,7,6,5.7,0,2021-05
TSLA,"Tesla, Inc.",31,3,17.3,11,3,2021-05
TXN,Texas Instruments,18,6.7,5.5,5.6,2,2021-05
TXT,Textron Inc.,36,9.8,18.2,7.6,2,2021-05
TMO,Thermo Fisher Scientific,14,1.5,6,6.5,2,2021-05
TJX,TJX Companies Inc.,15,2,7.2,5.3,2,2021-05
TSCO,Tractor Supply Company,16,3.5,8.2,4.3,2,2021-05
TT,Trane Technologies plc,15,7.1,2.1,5.4,2,2021-05
TDG,TransDigm Group,40,11.2,19.8,8.5,2,2021-05
TRV,The Travelers Companies,19,1.1,7,10.7,1,2021-05
TRMB,Trimble Inc.,13,3.7,3.8,5.3,1,2021-05
TFC,Truist Financial,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TWTR,"Twitter, Inc.",25,3,12.8,9.2,3,2021-05
TYL,Tyler Technologies,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TSN,Tyson Foods,36,12.6,13.5,9.9,4,2021-05
UDR,"UDR, Inc.",13,3.8,4.2,5.1,0,2021-05
ULTA,Ulta Beauty,17,3.7,7.3,5.8,1,2021-05
USB,U.S. Bancorp,27,1.6,13.5,12.1,3,2021-05
UAA,Under Armour (Class A),16,1.8,8,6,2,2021-05
UA,Under Armour (Class C),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
UNP,Union Pacific Corp,23,8.3,11,3.6,2,2021-05
UAL,United Airlines Holdings,32,11.4,14.6,5.5,2,2021-05
UNH,UnitedHealth Group Inc.,21,0,15.4,5.4,3,2021-05
UPS,United Parcel Service,21,5.6,9.2,5.7,3,2021-05
URI,"United Rentals, Inc.",17,4.4,6.5,5.9,1,2021-05
UHS,Universal Health Services,35,3.3,22.2,9.9,3,2021-05
UNM,Unum Group,23,2.7,7.4,12.4,1,2021-05
VLO,Valero Energy,28,16.1,6.9,5.4,3,2021-05
VTR,Ventas Inc,12,3.4,4,4.8,0,2021-05
VRSN,Verisign Inc.,22,3,12.9,6.3,1,2021-05
VRSK,Verisk Analytics,21,0.1,14.7,6.5,1,2021-05
VZ,Verizon Communications,18,1.7,10.2,6.2,3,2021-05
VRTX,Vertex Pharmaceuticals Inc,25,0.2,17.2,7.5,2,2021-05
VFC,VF Corporation,11,0.9,5.8,4.8,2,2021-05
VIAC,ViacomCBS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VTRS,Viatris,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
V,Visa Inc.,17,0.1,9.8,7.4,3,2021-05
VNO,Vornado Realty Trust,14,2.5,4.7,6.5,1,2021-05
VMC,Vulcan Materials,29,15.2,5.2,8.5,2,2021-05
WRB,W. R. Berkley Corporation,24,2,7.6,14.3,1,2021-05
WAB,Westinghouse Air Brake Technologies Corp,32,10.4,14.1,7.7,1,2021-05
WMT,Walmart,28,3.4,17.2,6.9,4,2021-05
WBA,Walgreens Boots Alliance,17,1.9,10.9,4.7,3,2021-05
DIS,The Walt Disney Company,16,0,8.3,8,2,2021-05
WM,Waste Management Inc.,15,7.7,3.6,3.6,2,2021-05
WAT,Waters Corporation,18,1.5,10.7,5.9,0,2021-05
WEC,WEC Energy Group,32,17.9,9.2,5.2,1,2021-05
WFC,Wells Fargo,31,1.1,14.1,15.6,5,2021-05
WELL,Welltower Inc.,12,3.5,3.2,5.1,1,2021-05
WST,West Pharmaceutical Services,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
WDC,Western Digital,12,2.2,4.2,5.6,1,2021-05
WU,Western Union Co,16,0.1,9.7,6.6,3,2021-05
WRK,WestRock,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
WY,Weyerhaeuser,17,9.8,3.4,4.2,3,2021-05
WHR,Whirlpool Corp.,18,6.7,6.8,4.6,2,2021-05
WMB,Williams Companies,21,9,8.5,3.2,2,2021-05
WLTW,Willis Towers Watson,21,0.1,10.2,10.4,2,2021-05
WYNN,Wynn Resorts Ltd,27,4.2,11.7,11.5,3,2021-05
XEL,Xcel Energy Inc,29,16.3,8.7,4.3,1,2021-05
XLNX,Xilinx,23,9.6,5.9,7.8,1,2021-05
XYL,Xylem Inc.,16,3.5,7.8,5.1,2,2021-05
YUM,Yum! Brands Inc,21,4,12.9,4.4,3,2021-05
ZBRA,Zebra Technologies,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ZBH,Zimmer Biomet,34,4.8,18.9,10.5,2,2021-05
ZION,Zions Bancorp,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ZTS,Zoetis,19,1.5,8.3,9.3,1,2021-05
